id|estado|cidade|bairro|rua|cep|numero|id_usuario
28|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|40|28
29|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|724|29
30|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|740|30
31|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|410|31
32|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|640|32
33|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|480|33
34|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|443|34
35|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|516|35
36|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|976|36
37|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|553|37
38|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|843|38
39|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|96|39
40|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|603|40
41|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|745|41
42|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|419|42
43|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|409|43
44|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|741|44
45|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|474|45
46|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|553|46
47|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|602|47
48|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|472|48
49|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|416|49
50|SP|São Paulo|Jardim Maringá|Praça Almir Colares dos Santos|03525-200|589|50
51|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|716|51
52|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|569|52
53|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|115|53
54|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|907|54
55|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|53|55
56|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|729|56
57|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|611|57
58|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|949|58
59|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|516|59
60|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|555|60
61|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|406|61
62|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|371|62
63|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|864|63
64|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|229|64
65|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|853|65
66|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|113|66
67|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|285|67
68|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|243|68
69|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|231|69
70|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|302|70
71|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|883|71
72|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|379|72
73|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|350|73
74|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|178|74
75|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|101|75
76|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|747|76
77|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|895|77
78|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|256|78
79|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|727|79
80|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|196|80
81|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|206|81
82|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|23|82
83|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|462|83
84|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|651|84
85|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|451|85
86|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|710|86
87|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|445|87
88|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|585|88
89|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|728|89
90|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|646|90
91|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|876|91
92|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|461|92
93|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|76|93
94|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|543|94
95|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|59|95
96|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|999|96
97|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|135|97
98|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|458|98
99|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|789|99
100|SP|São Bernardo do Campo|Jordanópolis|Rua Padre Gonçalves Lima|09892-020|913|100
101|SP|São Carlos|Cidade Aracy|Rua José Vicente de Vitta|13573-216|628|101
102|SP|São Carlos|Cidade Aracy|Rua José Vicente de Vitta|13573-216|571|102
103|SP|São Carlos|Cidade Aracy|Rua José Vicente de Vitta|13573-216|281|103
104|SP|São Carlos|Cidade Aracy|Rua José Vicente de Vitta|13573-216|361|104
105|SP|São Carlos|Cidade Aracy|Rua José Vicente de Vitta|13573-216|721|105
106|SP|São Carlos|Cidade Aracy|Rua José Vicente de Vitta|13573-216|140|106
107|SP|São Carlos|Cidade Aracy|Rua José Vicente de Vitta|13573-216|363|107
108|SP|São Carlos|Cidade Aracy|Rua José Vicente de Vitta|13573-216|185|108
109|SP|São Carlos|Cidade Aracy|Rua José Vicente de Vitta|13573-216|85|109
110|SP|São Carlos|Cidade Aracy|Rua José Vicente de Vitta|13573-216|736|110
111|SP|São Carlos|Cidade Aracy|Rua José Vicente de Vitta|13573-216|366|111
112|SP|São Carlos|Cidade Aracy|Rua José Vicente de Vitta|13573-216|758|112
113|SP|São Carlos|Cidade Aracy|Rua José Vicente de Vitta|13573-216|446|113
114|SP|São Carlos|Cidade Aracy|Rua José Vicente de Vitta|13573-216|55|114
115|SP|São Carlos|Cidade Aracy|Rua José Vicente de Vitta|13573-216|596|115
116|SP|São Carlos|Cidade Aracy|Rua José Vicente de Vitta|13573-216|473|116
117|SP|São Carlos|Cidade Aracy|Rua José Vicente de Vitta|13573-216|816|117
118|SP|São Carlos|Cidade Aracy|Rua José Vicente de Vitta|13573-216|579|118
119|SP|São Carlos|Cidade Aracy|Rua José Vicente de Vitta|13573-216|266|119
120|SP|São Carlos|Cidade Aracy|Rua José Vicente de Vitta|13573-216|668|120
121|SP|São Carlos|Cidade Aracy|Rua José Vicente de Vitta|13573-216|451|121
122|SP|São Carlos|Cidade Aracy|Rua José Vicente de Vitta|13573-216|455|122
123|SP|São Carlos|Cidade Aracy|Rua José Vicente de Vitta|13573-216|666|123
124|SP|São Carlos|Cidade Aracy|Rua José Vicente de Vitta|13573-216|553|124
125|SP|São Carlos|Cidade Aracy|Rua José Vicente de Vitta|13573-216|932|125
126|SP|São Carlos|Cidade Aracy|Rua José Vicente de Vitta|13573-216|488|126
127|SP|São Carlos|Cidade Aracy|Rua José Vicente de Vitta|13573-216|782|127
128|SP|São Carlos|Cidade Aracy|Rua José Vicente de Vitta|13573-216|285|128
129|SP|São Carlos|Cidade Aracy|Rua José Vicente de Vitta|13573-216|776|129
130|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|935|130
131|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|945|131
132|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|567|132
133|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|443|133
134|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|643|134
135|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|517|135
136|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|494|136
137|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|476|137
138|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|187|138
139|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|30|139
140|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|628|140
141|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|168|141
142|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|328|142
143|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|927|143
144|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|178|144
145|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|956|145
146|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|543|146
147|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|49|147
148|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|533|148
149|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|225|149
150|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|31|150
151|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|218|151
152|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|477|152
153|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|699|153
154|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|240|154
155|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|532|155
156|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|305|156
157|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|495|157
158|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|678|158
159|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|768|159
160|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|186|160
161|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|457|161
162|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|291|162
163|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|948|163
164|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|785|164
165|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|489|165
166|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|666|166
167|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|149|167
168|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|712|168
169|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|341|169
170|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|700|170
171|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|764|171
172|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|174|172
173|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|951|173
174|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|842|174
175|SP|São Bernardo do Campo|Jardim Industrial|Viela Sebastiana Barbosa Costa Prado|19911-273|193|175
176|SP|Poá|Jardim Estela|Travessa Batatais|08563-140|184|176
177|SP|Poá|Jardim Estela|Travessa Batatais|08563-140|487|177
178|SP|Poá|Jardim Estela|Travessa Batatais|08563-140|526|178
179|SP|Poá|Jardim Estela|Travessa Batatais|08563-140|618|179
180|SP|Poá|Jardim Estela|Travessa Batatais|08563-140|35|180
181|SP|Poá|Jardim Estela|Travessa Batatais|08563-140|965|181
182|SP|Poá|Jardim Estela|Travessa Batatais|08563-140|837|182
183|SP|Poá|Jardim Estela|Travessa Batatais|08563-140|164|183
184|SP|Poá|Jardim Estela|Travessa Batatais|08563-140|549|184
185|SP|Poá|Jardim Estela|Travessa Batatais|08563-140|406|185
186|SP|Poá|Jardim Estela|Travessa Batatais|08563-140|924|186
187|SP|Poá|Jardim Estela|Travessa Batatais|08563-140|22|187
188|SP|Poá|Jardim Estela|Travessa Batatais|08563-140|566|188
189|SP|Poá|Jardim Estela|Travessa Batatais|08563-140|970|189
190|SP|Poá|Jardim Estela|Travessa Batatais|08563-140|215|190
191|SP|Poá|Jardim Estela|Travessa Batatais|08563-140|273|191
192|SP|Poá|Jardim Estela|Travessa Batatais|08563-140|680|192
193|SP|Poá|Jardim Estela|Travessa Batatais|08563-140|305|193
194|SP|Poá|Jardim Estela|Travessa Batatais|08563-140|865|194
195|SP|Poá|Jardim Estela|Travessa Batatais|08563-140|21|195
196|SP|Poá|Jardim Estela|Travessa Batatais|08563-140|568|196
197|SP|Poá|Jardim Estela|Travessa Batatais|08563-140|507|197
198|SP|Poá|Jardim Estela|Travessa Batatais|08563-140|143|198
199|SP|Poá|Jardim Estela|Travessa Batatais|08563-140|180|199
200|SP|Poá|Jardim Estela|Travessa Batatais|08563-140|245|200
201|SP|Poá|Jardim Estela|Travessa Batatais|08563-140|614|201
202|SP|Poá|Jardim Estela|Travessa Batatais|08563-140|479|202
203|SP|Poá|Jardim Estela|Travessa Batatais|08563-140|413|203
204|SP|Poá|Jardim Estela|Travessa Batatais|08563-140|704|204
205|SP|Poá|Jardim Estela|Travessa Batatais|08563-140|472|205
206|SP|Sorocaba|Jardim Nilton Torres|Rua Francisco de Assis Torres|18105-534|423|206
207|SP|Sorocaba|Jardim Nilton Torres|Rua Francisco de Assis Torres|18105-534|793|207
208|SP|Sorocaba|Jardim Nilton Torres|Rua Francisco de Assis Torres|18105-534|33|208
209|SP|Sorocaba|Jardim Nilton Torres|Rua Francisco de Assis Torres|18105-534|724|209
210|SP|Sorocaba|Jardim Nilton Torres|Rua Francisco de Assis Torres|18105-534|383|210
211|SP|Sorocaba|Jardim Nilton Torres|Rua Francisco de Assis Torres|18105-534|22|211
212|SP|Sorocaba|Jardim Nilton Torres|Rua Francisco de Assis Torres|18105-534|880|212
213|SP|Sorocaba|Jardim Nilton Torres|Rua Francisco de Assis Torres|18105-534|81|213
214|SP|Sorocaba|Jardim Nilton Torres|Rua Francisco de Assis Torres|18105-534|451|214
215|SP|Sorocaba|Jardim Nilton Torres|Rua Francisco de Assis Torres|18105-534|219|215
216|SP|Sorocaba|Jardim Nilton Torres|Rua Francisco de Assis Torres|18105-534|424|216
217|SP|Sorocaba|Jardim Nilton Torres|Rua Francisco de Assis Torres|18105-534|600|217
218|SP|Sorocaba|Jardim Nilton Torres|Rua Francisco de Assis Torres|18105-534|159|218
219|SP|Sorocaba|Jardim Nilton Torres|Rua Francisco de Assis Torres|18105-534|539|219
220|SP|Sorocaba|Jardim Nilton Torres|Rua Francisco de Assis Torres|18105-534|848|220
221|SP|Sorocaba|Jardim Nilton Torres|Rua Francisco de Assis Torres|18105-534|52|221
222|SP|Sorocaba|Jardim Nilton Torres|Rua Francisco de Assis Torres|18105-534|627|222
223|SP|Sorocaba|Jardim Nilton Torres|Rua Francisco de Assis Torres|18105-534|72|223
224|SP|Sorocaba|Jardim Nilton Torres|Rua Francisco de Assis Torres|18105-534|492|224
225|SP|Sorocaba|Jardim Nilton Torres|Rua Francisco de Assis Torres|18105-534|792|225
226|SP|Sorocaba|Jardim Nilton Torres|Rua Francisco de Assis Torres|18105-534|424|226
227|SP|Sorocaba|Jardim Nilton Torres|Rua Francisco de Assis Torres|18105-534|297|227
228|SP|Sorocaba|Jardim Nilton Torres|Rua Francisco de Assis Torres|18105-534|799|228
229|SP|Sorocaba|Jardim Nilton Torres|Rua Francisco de Assis Torres|18105-534|280|229
230|SP|Sorocaba|Jardim Nilton Torres|Rua Francisco de Assis Torres|18105-534|620|230
231|SP|Sorocaba|Jardim Nilton Torres|Rua Francisco de Assis Torres|18105-534|197|231
232|SP|Sorocaba|Jardim Nilton Torres|Rua Francisco de Assis Torres|18105-534|313|232
233|SP|Sorocaba|Jardim Nilton Torres|Rua Francisco de Assis Torres|18105-534|999|233
234|SP|Sorocaba|Jardim Nilton Torres|Rua Francisco de Assis Torres|18105-534|369|234
235|SP|Sorocaba|Jardim Nilton Torres|Rua Francisco de Assis Torres|18105-534|840|235
236|SP|Sorocaba|Jardim Nilton Torres|Rua Francisco de Assis Torres|18105-534|603|236
237|SP|Sorocaba|Jardim Nilton Torres|Rua Francisco de Assis Torres|18105-534|248|237
238|SP|Sorocaba|Jardim Nilton Torres|Rua Francisco de Assis Torres|18105-534|113|238
239|SP|Sorocaba|Jardim Nilton Torres|Rua Francisco de Assis Torres|18105-534|56|239
240|SP|Sorocaba|Jardim Nilton Torres|Rua Francisco de Assis Torres|18105-534|186|240
241|SP|Sorocaba|Jardim Nilton Torres|Rua Francisco de Assis Torres|18105-534|463|241
242|SP|Sorocaba|Jardim Nilton Torres|Rua Francisco de Assis Torres|18105-534|550|242
243|SP|Sorocaba|Jardim Nilton Torres|Rua Francisco de Assis Torres|18105-534|174|243
244|SP|Sorocaba|Jardim Nilton Torres|Rua Francisco de Assis Torres|18105-534|186|244
245|SP|Sorocaba|Jardim Nilton Torres|Rua Francisco de Assis Torres|18105-534|596|245
246|SP|São Paulo|Jardim Apuana|Viela S|02325-529|15|246
247|SP|São Paulo|Jardim Apuana|Viela S|02325-529|937|247
248|SP|São Paulo|Jardim Apuana|Viela S|02325-529|315|248
249|SP|São Paulo|Jardim Apuana|Viela S|02325-529|94|249
250|SP|São Paulo|Jardim Apuana|Viela S|02325-529|528|250
251|SP|São Paulo|Jardim Apuana|Viela S|02325-529|723|251
252|SP|São Paulo|Jardim Apuana|Viela S|02325-529|310|252
253|SP|São Paulo|Jardim Apuana|Viela S|02325-529|705|253
254|SP|São Paulo|Jardim Apuana|Viela S|02325-529|500|254
255|SP|São Paulo|Jardim Apuana|Viela S|02325-529|731|255
256|SP|São Paulo|Jardim Apuana|Viela S|02325-529|91|256
257|SP|São Paulo|Jardim Apuana|Viela S|02325-529|366|257
258|SP|São Paulo|Jardim Apuana|Viela S|02325-529|829|258
259|SP|São Paulo|Jardim Apuana|Viela S|02325-529|883|259
260|SP|São Paulo|Jardim Apuana|Viela S|02325-529|97|260
261|SP|São Paulo|Jardim Apuana|Viela S|02325-529|407|261
262|SP|São Paulo|Jardim Apuana|Viela S|02325-529|799|262
263|SP|São Paulo|Jardim Apuana|Viela S|02325-529|302|263
264|SP|São Paulo|Jardim Apuana|Viela S|02325-529|745|264
265|SP|São Paulo|Jardim Apuana|Viela S|02325-529|799|265
266|SP|São Paulo|Jardim Apuana|Viela S|02325-529|586|266
267|SP|São Paulo|Jardim Apuana|Viela S|02325-529|473|267
268|SP|São Paulo|Jardim Apuana|Viela S|02325-529|148|268
269|SP|São Paulo|Jardim Apuana|Viela S|02325-529|131|269
270|SP|São Paulo|Jardim Apuana|Viela S|02325-529|791|270
271|SP|São Paulo|Jardim Apuana|Viela S|02325-529|802|271
272|SP|São Paulo|Jardim Apuana|Viela S|02325-529|266|272
273|SP|São Paulo|Jardim Apuana|Viela S|02325-529|871|273
274|SP|São Paulo|Jardim Apuana|Viela S|02325-529|227|274
275|SP|São Paulo|Jardim Apuana|Viela S|02325-529|750|275
276|SP|São Paulo|Jardim Apuana|Viela S|02325-529|480|276
277|SP|São Paulo|Jardim Apuana|Viela S|02325-529|221|277
278|SP|São Paulo|Jardim Apuana|Viela S|02325-529|986|278
279|SP|São Paulo|Jardim Apuana|Viela S|02325-529|562|279
280|SP|São Paulo|Jardim Apuana|Viela S|02325-529|984|280
281|SP|São Paulo|Jardim Apuana|Viela S|02325-529|729|281
282|SP|São Paulo|Jardim Apuana|Viela S|02325-529|79|282
283|SP|São Paulo|Jardim Apuana|Viela S|02325-529|697|283
284|SP|São Paulo|Jardim Apuana|Viela S|02325-529|675|284
285|SP|São Paulo|Jardim Apuana|Viela S|02325-529|133|285
286|SP|São Paulo|Vila Maria Alta|Travessa Pedro Antônio de Alarcon|02136-010|422|286
287|SP|São Paulo|Vila Maria Alta|Travessa Pedro Antônio de Alarcon|02136-010|451|287
288|SP|São Paulo|Vila Maria Alta|Travessa Pedro Antônio de Alarcon|02136-010|896|288
289|SP|São Paulo|Vila Maria Alta|Travessa Pedro Antônio de Alarcon|02136-010|511|289
290|SP|São Paulo|Vila Maria Alta|Travessa Pedro Antônio de Alarcon|02136-010|4|290
291|SP|São Paulo|Vila Maria Alta|Travessa Pedro Antônio de Alarcon|02136-010|335|291
292|SP|São Paulo|Vila Maria Alta|Travessa Pedro Antônio de Alarcon|02136-010|45|292
293|SP|São Paulo|Vila Maria Alta|Travessa Pedro Antônio de Alarcon|02136-010|569|293
294|SP|São Paulo|Vila Maria Alta|Travessa Pedro Antônio de Alarcon|02136-010|483|294
295|SP|São Paulo|Vila Maria Alta|Travessa Pedro Antônio de Alarcon|02136-010|264|295
296|SP|São Paulo|Vila Maria Alta|Travessa Pedro Antônio de Alarcon|02136-010|740|296
297|SP|São Paulo|Vila Maria Alta|Travessa Pedro Antônio de Alarcon|02136-010|799|297
298|SP|São Paulo|Vila Maria Alta|Travessa Pedro Antônio de Alarcon|02136-010|840|298
299|SP|São Paulo|Vila Maria Alta|Travessa Pedro Antônio de Alarcon|02136-010|727|299
300|SP|São Paulo|Vila Maria Alta|Travessa Pedro Antônio de Alarcon|02136-010|203|300
301|SP|São Paulo|Vila Maria Alta|Travessa Pedro Antônio de Alarcon|02136-010|263|301
302|SP|São Paulo|Vila Maria Alta|Travessa Pedro Antônio de Alarcon|02136-010|444|302
303|SP|São Paulo|Vila Maria Alta|Travessa Pedro Antônio de Alarcon|02136-010|67|303
304|SP|São Paulo|Vila Maria Alta|Travessa Pedro Antônio de Alarcon|02136-010|319|304
305|SP|São Paulo|Vila Maria Alta|Travessa Pedro Antônio de Alarcon|02136-010|551|305
306|SP|São Paulo|Vila Maria Alta|Travessa Pedro Antônio de Alarcon|02136-010|397|306
307|SP|São Paulo|Vila Maria Alta|Travessa Pedro Antônio de Alarcon|02136-010|746|307
308|SP|São Paulo|Vila Maria Alta|Travessa Pedro Antônio de Alarcon|02136-010|854|308
309|SP|São Paulo|Vila Maria Alta|Travessa Pedro Antônio de Alarcon|02136-010|207|309
